url| title| publish_date| authors
https://www.cnn.com/2021/03/31/sport/michael-miraglia-strongman-marathon-spt-intl/index.html|How Michael Miraglia completed his own Strongman Marathon on Utah's Bonneville Salt Flats|2021-03-31 00:00:00|['George Ramsay', 'Cnn Video Produced Tomas Meehan', 'For Cnn']
https://www.cnn.com/2019/12/09/sport/nick-butter-marathon-running-spt-intl-gbr/index.html|Dog bites, kidney infections and 335 laps of a car park -- how an ex-banker ran a marathon in every country|2019-12-09 00:00:00|['George Ramsay']
https://www.cnn.com/2020/12/02/sport/rene-campbell-bodybuilding-cmd-spt-intl/index.html|Bodybuilder Rene Campbell wants to change the view of what women should look like|2020-12-02 00:00:00|['Noura Abou Zeinab', 'For Cnn']
https://www.cnn.com/2020/10/06/sport/priscilla-frederick-loomis-olympics-spt-intl/index.html|Olympic high jumper pressured to 'perform better' and lose a few pounds|2020-10-06 00:00:00|['Noura Abou Zeinab', 'For Cnn']
https://www.cnn.com/2020/06/10/sport/marilyn-okoro-body-image-cmd-spt-intl/index.html|Women sport stars' fight for body acceptance|2020-06-10 00:00:00|['Noura Abou Zeinab']
https://www.cnn.com/2021/06/28/sport/navid-afkari-cmd-spt-intl/index.html|Navid Afkari: Executed Iranian wrestling star's voice is 'everywhere now'|2021-06-28 00:00:00|['Don Riddell']
https://www.cnn.com/2021/07/01/sport/iranian-athletes-ioc-campaign-cmd-spt-intl/index.html|International Olympic Committee is coming under pressure over the alleged torture and arrest of Iranian athletes|2021-07-01 00:00:00|['Don Riddell']
https://www.cnn.com/2021/04/01/football/trkgc-munich-football-turkey-germany-immigrant-far-right-cmd-spt-intl/index.html|Bundesliga: Targeted by far right group, Türkgücü Munich, founded by Turkish immigrants, looks to connect cultures|2021-04-01 00:00:00|['Aleks Klosok']
https://www.cnn.com/2021/04/03/australia/aboriginal-cricket-team-first-xi-dst-intl-hnk/index.html|Australia's first international cricket team found fame in the UK. At home, they were betrayed|2021-04-03 00:00:00|['Ben Westcott']
https://www.cnn.com/2021/03/08/sport/muhammad-ali-joe-frazier-the-fight-of-the-century-cmd-spt-intl/index.html|'The Fight of the Century': A divided US nation 50 years on|2021-03-08 00:00:00|['Steven Poole']
https://www.cnn.com/2020/04/17/sport/gallery/michael-jordan/index.html|In pictures: When 'Air Jordan' took flight|2020-04-17 00:00:00|['Kyle Almond', 'Will Lanzoni']
http://cnn.com/2021/07/14/world/tusimple-autonomous-truck-spc-intl/index.html|There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed|2021-07-14 00:00:00|['Jacopo Prisco']
http://cnn.com/2021/05/12/world/ironhand-exoskeleton-glove-spc-intl/index.html|A robotic 'Ironhand' could protect factory workers from injuries|2021-05-12 00:00:00|['Stephanie Bailey']
http://cnn.com/2021/06/15/asia/swarm-robots-hong-kong-warehouse-hnk-spc-intl/index.html|This swarm of robots gets smarter the more it works|2021-06-15 00:00:00|['Words Stephanie Bailey', 'Video Zahra Jamshed']
https://bleacherreport.com/articles/10012467-simone-biles-us-gymnasts-testify-at-hearing-over-fbis-handling-of-larry-nassar?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|Simone Biles, U.S. Gymnasts Testify at Hearing over FBI's Handling of Larry Nassar|September 15, 2021|['Mike']
https://bleacherreport.com/articles/10012456-simone-biles-tom-brady-shohei-ohtani-among-athletes-on-time-100-most-influential?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|Simone Biles, Tom Brady, Shohei Ohtani Among Athletes on Time 100 Most Influential|September 15, 2021|['Mike']
https://bleacherreport.com/articles/10012393-vlad-jr-and-the-red-hot-blue-jays-are-mlbs-nightmare-playoff-matchup?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|Vlad Jr. and the Red-Hot Blue Jays Are MLB's Nightmare Playoff Matchup|September 14, 2021|['Zachary D. Rymer']
https://bleacherreport.com/articles/10012504-lisa-byington-makes-history-with-bucks-as-1st-female-pbp-announcer-for-mens-team?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial|Lisa Byington Makes History with Bucks as 1st Female PBP Announcer for Men's Team|September 16, 2021|['Scott Polacek']
